,cid,createTime,date,diggCount,replyCommentTotal,submittedVideoUrl,text,videoWebUrl,user_screen_name
88,7.167105797901698e+18,1668721883,2022-11-17T21:51:23.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,"perhaps even more power than the average man, y’know for the battery n all that",https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
89,7.166675476961773e+18,1668621684,2022-11-16T18:01:24.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,😂😂😂,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
90,,1668073193,2022-11-10T09:39:53.000Z,44600,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,"“Tense, gripping & powerful"". Don't miss #SheSaidMovie in cinemas November 25.",,
91,7.165921252523673e+18,1668446084,2022-11-14T17:14:44.000Z,2,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@gabriellassssss I want to watch this in the cinema wanna come with me,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
92,7.165925732722607e+18,1668447116,2022-11-14T17:31:56.000Z,1,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@Callum Delaforce this is it!,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
93,7.165937055142594e+18,1668449759,2022-11-14T18:15:59.000Z,1,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@Rebecca Coupland505 I really fancy this ? Xxx,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
94,7.166772501043856e+18,1668644274,2022-11-17T00:17:54.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Sarge,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
95,7.166423171964093e+18,1668562954,2022-11-16T01:42:34.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,when they doing rochdale and rotherham,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
96,7.166297809166697e+18,1668533750,2022-11-15T17:35:50.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Captain holt?😳,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
97,7.168015693228492e+18,1668933744,2022-11-20T08:42:24.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,It should star Harvey for authenticity,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
98,7.166326497585595e+18,1668540431,2022-11-15T19:27:11.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@jean_jeanie_essex plz xxxxx,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
99,7.166301521142318e+18,1668534611,2022-11-15T17:50:11.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Raymond I thought you didn’t like actors,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
100,7.168521736354498e+18,1669051553,2022-11-21T17:25:53.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,escape the matrix,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
101,7.166423837466363e+18,1668563114,2022-11-16T01:45:14.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,They already betraying this man,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
102,7.166648171844961e+18,1668615323,2022-11-16T16:15:23.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,"Tense, gripping and powerful - are those describing the movie or Harvey?",https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
103,7.167126968289641e+18,1668726808,2022-11-17T23:13:28.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,"Alpha and captain holt , can’t be bad",https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
104,7.165953404882814e+18,1668453563,2022-11-14T19:19:23.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,New sigma?,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
105,7.167771540980909e+18,1668876885,2022-11-19T16:54:45.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,😳😳😳,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
106,7.166373596801385e+18,1668551407,2022-11-15T22:30:07.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,CAPTAIN HOLT BBY,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
107,7.171549332200801e+18,1669756460,2022-11-29T21:14:20.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,it was SOO GOOODDDDD,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
108,7.167127162197476e+18,1668726865,2022-11-17T23:14:25.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,that’s what,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
109,7.167771034518193e+18,1668876764,2022-11-19T16:52:44.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,"Hollywood isn’t a luxurious and grand as it’s made out to be, it’s a very dark place with a lot of secrets…",https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
110,7.166661915430782e+18,1668618530,2022-11-16T17:08:50.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Hey Raymond,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
111,7.165921502633575e+18,1668446134,2022-11-14T17:15:34.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Yeahhh,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
112,7.165947648356042e+18,1668452222,2022-11-14T18:57:02.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Let’s go!!,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
113,7.165950204658828e+18,1668452820,2022-11-14T19:07:00.000Z,1,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Oooh yes let’s have a movie night and go,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
114,7.166736274894865e+18,1668635837,2022-11-16T21:57:17.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Captain holt!,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
115,7.167273577216099e+18,1668760953,2022-11-18T08:42:33.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,"I knew there would be a movie. And not that Cptn HOLT is in it, I’m taking the day off to watch it.",https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
116,7.166020710980322e+18,1668469254,2022-11-14T23:40:54.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@beccapollitt want to watch,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
117,7.18443410193105e+18,1672756437,2023-01-03T14:33:57.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,my biggest flex is that i know the original targets.,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
118,7.167482924592514e+18,1668809678,2022-11-18T22:14:38.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Why not “me too” ??,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
119,7.166370021391238e+18,1668550567,2022-11-15T22:16:07.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Should have got Jeff fo play Harvey,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
120,7.166348968733214e+18,1668545666,2022-11-15T20:54:26.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@sophie x we should go watch,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
121,7.166946866931205e+18,1668684881,2022-11-17T11:34:41.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,is new york times a good source for accurate information,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
122,7.167797687671424e+18,1668882964,2022-11-19T18:36:04.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,IS THAT RAYMOND HOLT,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
123,7.166675692267079e+18,1668621726,2022-11-16T18:02:06.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Captain Holt??????,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
124,7.167288402587567e+18,1668764401,2022-11-18T09:40:01.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Unbelievable 😳,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
125,7.165938838471181e+18,1668450162,2022-11-14T18:22:42.000Z,0,2.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@EVIE @mia<3 thoughts?,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
126,7.167499321587631e+18,1668813516,2022-11-18T23:18:36.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,CAPTAIN HOLT,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
127,7.167879073150436e+18,1668901936,2022-11-19T23:52:16.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Yoo it’s captain halt,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
128,7.165935507720914e+18,1668449397,2022-11-14T18:09:57.000Z,0,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@z I want to watch this,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
129,7.166760556413519e+18,1668641511,2022-11-16T23:31:51.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,hollywood makes a movie about events they all knew about in hollywood,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
130,7.166283205921179e+18,1668530347,2022-11-15T16:39:07.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@Naomi Chaffe one to watch,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
131,7.167869015774742e+18,1668899585,2022-11-19T23:13:05.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,captain holt. wyd?,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
132,7.166758247164462e+18,1668640970,2022-11-16T23:22:50.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Except literally no cinema in London is selling tickets for it a week out 🙄,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
133,7.167999852340725e+18,1668930073,2022-11-20T07:41:13.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Captain Raymond Holt has changed his career,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
134,7.167056767205557e+18,1668710468,2022-11-17T18:41:08.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,sally sparrow 😌,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
135,7.167716050854544e+18,1668863968,2022-11-19T13:19:28.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Friendly fire,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
136,7.166372817507468e+18,1668551220,2022-11-15T22:27:00.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,VINDICATION!!!!,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
137,7.166685080755357e+18,1668623916,2022-11-16T18:38:36.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@Ly 🤍 holt,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
138,7.166376992602359e+18,1668552204,2022-11-15T22:43:24.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Skip the sesh watch this,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
139,7.166376993263502e+18,1668552185,2022-11-15T22:43:05.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Yes,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
140,7.165941669161469e+18,1668450828,2022-11-14T18:33:48.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,ong,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
141,7.16628707240249e+18,1668531249,2022-11-15T16:54:09.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Cap’n Holt ?!,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
142,7.166512048774743e+18,1668583656,2022-11-16T07:27:36.000Z,2,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@itsjustiqra12,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
143,7.166184440803558e+18,1668507369,2022-11-15T10:16:09.000Z,2,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@ElenLewis @lisapennyyy,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
144,7.166745592285119e+18,1668638007,2022-11-16T22:33:27.000Z,1,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@romillydavies,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
145,7.166328103827424e+18,1668540800,2022-11-15T19:33:20.000Z,1,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@soph,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
146,7.166185964191499e+18,1668507719,2022-11-15T10:21:59.000Z,1,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@Leah Morgan,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
147,7.167266409008317e+18,1668759292,2022-11-18T08:14:52.000Z,1,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@Harry L,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
148,7.166286825118909e+18,1668531189,2022-11-15T16:53:09.000Z,1,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@Ava🧚🏼‍♀️,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
149,7.166009271065314e+18,1668466564,2022-11-14T22:56:04.000Z,1,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@eviemartin16181,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
150,7.165962746864289e+18,1668455734,2022-11-14T19:55:34.000Z,1,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@Katie,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
151,7.166755743361091e+18,1668640375,2022-11-16T23:12:55.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@Harry Barton,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
152,7.165983960643454e+18,1668460675,2022-11-14T21:17:55.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@KKinsey,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
153,7.167294752500205e+18,1668765889,2022-11-18T10:04:49.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@elizarharding,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
154,7.166381105195648e+18,1668553147,2022-11-15T22:59:07.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@elli5,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
155,7.166308627598132e+18,1668536273,2022-11-15T18:17:53.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@rt x,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
156,7.1663770310299e+18,1668552199,2022-11-15T22:43:19.000Z,2,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@kane @chantelle1701,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
157,7.166713379820946e+18,1668630507,2022-11-16T20:28:27.000Z,1,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@emmacunn21,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
158,7.169098758889932e+18,1669185933,2022-11-23T06:45:33.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@kurutagirl,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
159,7.165905779513247e+18,1668442472,2022-11-14T16:14:32.000Z,63,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,So Hollywood making a film about what’s wrong with Hollywood? Can’t see how this could go wrong,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
160,7.166695006068344e+18,1668626228,2022-11-16T19:17:08.000Z,1,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,This looks good,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
161,7.166330528382076e+18,1668541361,2022-11-15T19:42:41.000Z,1,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,lets go,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
162,7.16633512523958e+18,1668542437,2022-11-15T20:00:37.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,ohhh is this what you were talking about,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
163,7.166186149315937e+18,1668507778,2022-11-15T10:22:58.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Let’s go and watch!,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
164,7.16630192887446e+18,1668534705,2022-11-15T17:51:45.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Looks great,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
165,7.166012118227174e+18,1668467246,2022-11-14T23:07:26.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Let’s watch,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
166,7.166377265797662e+18,1668552260,2022-11-15T22:44:20.000Z,0,,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,I’ve seeeeen thiiiisss advertised !!!!!,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
167,7.167021589081916e+18,1668702269,2022-11-17T16:24:29.000Z,1,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,This is so out of touch it’s unreal,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
168,7.165980683160405e+18,1668459918,2022-11-14T21:05:18.000Z,4,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Hahahahahha Hollywood pretending LIKE YA DIDNT KNO,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
169,7.165942171685881e+18,1668450949,2022-11-14T18:35:49.000Z,1,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,this is wildly inappropriate,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
170,7.166761183889081e+18,1668641646,2022-11-16T23:34:06.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,what about the one who said yes.. then later had buyers remorse?,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
171,7.166714060775015e+18,1668630669,2022-11-16T20:31:09.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,They took the roles in exchange for favours . Not heroes and certainly not a sisterhood “victim” enabled and perpetuated his outrageous behaviour,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
172,7.165954204254406e+18,1668453746,2022-11-14T19:22:26.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,The irony,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
173,7.168081249155368e+18,1668948993,2022-11-20T12:56:33.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,They will use the money for new orphanages charity’s etc and keep it all and send it to Israel . Pretty much wat happens all over world . Not anti sem,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
174,7.167296461776111e+18,1668766297,2022-11-18T10:11:37.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,This doesn’t seem gripping tbf,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
175,7.166583236196582e+18,1668600213,2022-11-16T12:03:33.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,ah we see bigger Hollywood trying to act like it did something instead of letting him get away with it for years,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
176,7.166404226167391e+18,1668558543,2022-11-16T00:29:03.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Produced by….HOLLYWOOD?!?!,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
177,7.166338018474051e+18,1668543111,2022-11-15T20:11:51.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Like I don’t care… they never make these movies well.. and jefrey got off,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
178,7.166989281793099e+18,1668694754,2022-11-17T14:19:14.000Z,0,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,hollywood… talking about hollywood?,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
179,7.167509839349384e+18,1668815959,2022-11-18T23:59:19.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,"Not interested, everyone start your world of Warcraft subscription 28th November",https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
